timestamp,symbol,action,price,quantity,reason,mode,outcome,pnl
2026-07-14T04:04:59.999Z,BTC-USD,SKIP,62547.59,0.000000,Blocked by memory: a real BUY on BTC-USD at price 62415.63 closed as a LOSS 0.9h ago (within the 24h cooldown). SKIP.,memory,NONE,0.00
2026-07-14T08:44:59.999Z,BTC-USD,BUY,62694.78,0.160358,Fast MA(9)=62544.70 crossed above Slow MA(21)=62526.70 on this candle (fresh bullish crossover). Exit: bearish crossover exit signal at 62523.21.,raw,LOSS,-27.51
2026-07-14T10:29:59.999Z,BTC-USD,BUY,62594.08,0.160176,Fast MA(9)=62601.78 crossed above Slow MA(21)=62598.46 on this candle (fresh bullish crossover). Exit: timeout after 20 candles at 62775.90.,raw,WIN,29.12
2026-07-14T08:44:59.999Z,BTC-USD,SKIP,62694.78,0.000000,Blocked by memory: a real BUY on BTC-USD at price 62694.78 closed as a LOSS 0.0h ago (within the 24h cooldown). SKIP.,memory,NONE,0.00
2026-07-14T10:29:59.999Z,BTC-USD,SKIP,62594.08,0.000000,Blocked by memory: a real BUY on BTC-USD at price 62694.78 closed as a LOSS 1.8h ago (within the 24h cooldown). SKIP.,memory,NONE,0.00
2026-07-14T14:44:59.999Z,BTC-USD,BUY,63965.75,0.156902,Fast MA(9)=63803.20 crossed above Slow MA(21)=63800.76 on this candle (fresh bullish crossover). Exit: timeout after 20 candles at 64772.41.,raw,WIN,126.57
2026-07-14T14:44:59.999Z,BTC-USD,SKIP,63965.75,0.000000,Blocked by memory: a real BUY on BTC-USD at price 62694.78 closed as a LOSS 6.0h ago (within the 24h cooldown). SKIP.,memory,NONE,0.00
2026-07-14T18:49:59.999Z,BTC-USD,BUY,64553.26,0.157671,Fast MA(9)=64504.43 crossed above Slow MA(21)=64502.08 on this candle (fresh bullish crossover). Exit: bearish crossover exit signal at 64472.61.,raw,LOSS,-12.72
2026-07-14T18:49:59.999Z,BTC-USD,SKIP,64553.26,0.000000,Blocked by memory: a real BUY on BTC-USD at price 64553.26 closed as a LOSS 0.0h ago (within the 24h cooldown). SKIP.,memory,NONE,0.00
2026-07-14T21:19:59.999Z,BTC-USD,BUY,64589.74,0.157044,Fast MA(9)=64499.47 crossed above Slow MA(21)=64486.59 on this candle (fresh bullish crossover). Exit: timeout after 20 candles at 64815.84.,raw,WIN,35.51
2026-07-14T21:19:59.999Z,BTC-USD,SKIP,64589.74,0.000000,Blocked by memory: a real BUY on BTC-USD at price 64553.26 closed as a LOSS 2.5h ago (within the 24h cooldown). SKIP.,memory,NONE,0.00
2026-07-15T03:39:59.999Z,BTC-USD,BUY,64614.65,0.157300,Fast MA(9)=64564.72 crossed above Slow MA(21)=64550.25 on this candle (fresh bullish crossover). Exit: bearish crossover exit signal at 64571.67.,raw,LOSS,-6.76
2026-07-15T06:04:59.999Z,BTC-USD,BUY,64845.27,0.156637,Fast MA(9)=64708.43 crossed above Slow MA(21)=64705.34 on this candle (fresh bullish crossover). Exit: bearish crossover exit signal at 64759.25.,raw,LOSS,-13.47
2026-07-15T03:39:59.999Z,BTC-USD,SKIP,64614.65,0.000000,Blocked by memory: a real BUY on BTC-USD at price 64614.65 closed as a LOSS 0.0h ago (within the 24h cooldown). SKIP.,memory,NONE,0.00
2026-07-15T06:04:59.999Z,BTC-USD,SKIP,64845.27,0.000000,Blocked by memory: a real BUY on BTC-USD at price 64845.27 closed as a LOSS 0.0h ago (within the 24h cooldown). SKIP.,memory,NONE,0.00
2026-07-15T08:49:59.999Z,BTC-USD,BUY,64688.04,0.156612,Fast MA(9)=64606.01 crossed above Slow MA(21)=64605.88 on this candle (fresh bullish crossover). Exit: bearish crossover exit signal at 64784.86.,raw,WIN,15.16
2026-07-15T12:04:59.999Z,BTC-USD,BUY,64677.24,0.156873,Fast MA(9)=64637.03 crossed above Slow MA(21)=64630.30 on this candle (fresh bullish crossover). Exit: timeout after 20 candles at 65117.49.,raw,WIN,69.06
2026-07-15T08:49:59.999Z,BTC-USD,SKIP,64688.04,0.000000,Blocked by memory: a real BUY on BTC-USD at price 64845.27 closed as a LOSS 2.8h ago (within the 24h cooldown). SKIP.,memory,NONE,0.00
2026-07-15T12:04:59.999Z,BTC-USD,SKIP,64677.24,0.000000,Blocked by memory: a real BUY on BTC-USD at price 64845.27 closed as a LOSS 6.0h ago (within the 24h cooldown). SKIP.,memory,NONE,0.00
2026-07-15T14:44:59.999Z,BTC-USD,BUY,65320.00,0.156814,Fast MA(9)=65268.54 crossed above Slow MA(21)=65256.37 on this candle (fresh bullish crossover). Exit: bearish crossover exit signal at 65042.71.,raw,LOSS,-43.48
2026-07-15T14:44:59.999Z,BTC-USD,SKIP,65320.00,0.000000,Blocked by memory: a real BUY on BTC-USD at price 65320 closed as a LOSS 0.0h ago (within the 24h cooldown). SKIP.,memory,NONE,0.00
